,Recipe_title,servings,ingredients,stars,Num_of_reviews
1846,Sweet Potato Stacks,12 servings,"['2 to 3 sweet potatoes,\\xa0skinny enough for slices to fit in a muffin tin', '8\\xa0tablespoons\\xa0unsalted butter, melted', '1/4\\xa0cup\\xa0dark brown sugar', '1\\xa0teaspoon\\xa0vanilla extract', '1/2\\xa0teaspoon\\xa0ground cinnamon', '1/2\\xa0teaspoon\\xa0ground nutmeg', '3/4\\xa0cup\\xa0marshmallow creme', '1/4\\xa0cup\\xa0pecans,\\xa0chopped']",,
1847,Island Fruitcake with Cinnamon-Rum Cream Cheese Icing,10 to 12 servings,"['2 cups oil', '1 1/4 pounds granulated sugar\xa0', '5 eggs\xa0', '14 ounces all-purpose flour\xa0', '2 tablespoons ground cinnamon\xa0', '2 teaspoons baking soda\xa0', '1 1/2 teaspoons baking powder\xa0', '1 cup shredded coconut\xa0', '3/4 cup chopped pecans\xa0', '1/2 cup chopped dates\xa0', '2 ripe bananas, sliced', 'One 16-ounce can crushed pineapple\xa0', '1 pound cream cheese, at room temperature', '8 ounces butter, at room temperature', ""1 pound confectioners' sugar\xa0"", '1 vanilla bean, split and seeded', 'Dark rum', 'Toasted shredded coconut, for serving']",,
1848,Sponge Cake,1 (17 by 12-inch) sheet cake,"['1 cup all-purpose flour', '1 teaspoon baking powder', '1/8 teaspoon salt', '1 teaspoon pure vanilla extract', '1/2 cup milk', '2 teaspoons plus 2 tablespoons unsalted butter', '8 large eggs', '1 cup plus 2 tablespoons sugar', '1 cup all-purpose flour', '1 teaspoon baking powder', '1/8 teaspoon salt', '1 teaspoon pure vanilla extract', '1/2 cup milk', '2 teaspoons plus 2 tablespoons unsalted butter', '8 large eggs', '1 cup plus 2 tablespoons sugar']",1,1
1849,Hottie Chocolate Cupcakes,12 servings,"['12 tablespoons creamy triple-chocolate chip fudge frosting', '1/2 cup (1 stick) unsalted butter, softened', '1/3 cup brown sugar, packed', '1 box moist dark chocolate cake mix', '1 large egg', '1/2 teaspoon cinnamon extract', '1 teaspoon ground cinnamon', '2 tablespoons canned jalapeno peppers, finely chopped', '3 tablespoons water', 'Nonstick cooking spray', 'Cocoa powder, for dusting', 'Vanilla ice cream, to serve']",4,30
1850,The Best Carrot Cake,10 servings,"['Nonstick\xa0cooking\xa0spray', '1/2 cup golden raisins\xa0\xa0', '1\xa01/2\xa0cups\xa0pecans\xa0', '1 pound\xa0carrots, peeled, coarsely grated\xa0', '1 cup buttermilk,\xa0at\xa0room temperature\xa0', '2\xa01/2 cups all-purpose flour\xa0', '2 teaspoons ground cinnamon\xa0', '2 teaspoons ground ginger\xa0', '1/2\xa0teaspoon freshly grated nutmeg\xa0', '2 teaspoons baking powder\xa0', '1\xa01/2\xa0teaspoons kosher salt\xa0', '3/4\xa0teaspoon baking soda\xa0', '4 large eggs,\xa0at\xa0room temperature\xa0', '1\xa03/4\xa0cup packed light brown sugar\xa0', '1\xa0tablespoon\xa0pure\xa0vanilla extract\xa0', '3/4\xa0cup vegetable oil\xa0']",3,11
1851,Spicy Pecan Roll,12 servings,"['4 ounces pecans, finely ground to yield 1 3/4 cups', '1 tablespoon unsweetened cocoa powder', '1/2 teaspoon powdered instant espresso', '1/2 teaspoon ground ginger', '1/2 teaspoon allspice', '1/2 teaspoon cinnamon', '1/2 teaspoon nutmeg', '1/2 teaspoon cardamom', '1/4 teaspoon finely ground pepper', '1/4 teaspoon salt', '1/8 teaspoon powdered cloves', '6 large eggs', '3/4 granulated sugar', '1 teaspoon pure vanilla extract']",,
1852,Baby Animal Cupcakes,Makes 24 cupcakes. (12 chickies and 12 bunnies),"['1 box (18.25 oz.) yellow cake mix', '1 can (16 oz.) vanilla frosting', 'Red and yellow food coloring\xa0', '1 cup STARBURST® Brand Jellybeans', ""1/2 cup M&amp;M'S® Brand Minis Chocolate Candies"", '12 pieces STARBURST® Fruit Chews', '12 Large marshmallows', 'Pink sugar crystals', 'Chocolate sprinkles']",,
1853,Flambee of Seasonal Fruits with Pound Cake and Ice Cream,4 servings,"['1 tablespoon butter', '1/2 pint blueberries', '1/2 pint red raspberries', '1/2 pint blackberries', '1/2 pint strawberries (sliced)', '2 vanilla beans (split and cut in half)', '2 ounces Grand Marnier', '1 orange (segments only)', '3 tablespoons honey', '4 slices pound cake', '4 scoops of your favorite ice cream', '4 mint sprigs']",,
1854,Chocolate Cake with Chocolate Frosting,8 to 10 servings,"['3 sticks unsalted butter, plus 1 tablespoon for greasing the pans, at room temperature', '1 1/2 cups cocoa powder, plus 1 tablespoon for dusting the pans\xa0', '1 1/2 cups all-purpose flour\xa0', '1 teaspoon baking powder\xa0', '2 cups sugar\xa0', '5 teaspoons vanilla extract', '6 large eggs, at room temperature\xa0', '2 teaspoons kosher salt\xa0', '1 cup sour cream, at room temperature\xa0', '12 ounces semisweet chocolate chips\xa0', '1/4 cup bourbon\xa0', '1/4 cup simple syrup\xa0']",3,15
1855,Cupcake Bouquet,1 bouquet with 48 mini-cupcakes,"['Butter, for greasing bowl', '1 (18.25-ounce) box golden yellow cake mix', '1 1/3 cups water', '1/2 cup vegetable oil', '3 eggs', '2 (16 ounce) containers vanilla frosting', '1/2 cup powdered sugar', '48 store-bought mini-cupcakes or mini-muffins, paper liners removed', '48 toothpicks', 'Pastry bag', 'Star tip']",3.5,10
1856,Chocolate Chip Cookies,30 (2 1/2-inch) cookies,"['Butter-flavor no-stick cooking spray', '3 tablespoons unsalted butter', '1 cup sifted cake flour', '1/4 teaspoon baking soda', '1/2 teaspoon salt', '1/3 cup plus 1 tablespoon packed dark brown sugar', '1/3 cup plus 1 tablespoon granulated sugar', '1/3 cup low-fat cream cheese, at room temperature', '1 large egg plus 1 large egg white', '2 teaspoons vanilla extract', '1/2 cup (3 ounces) semisweet mini chocolate chips']",,
1857,Cinnamon-Spiced Jaconde Biscuit,about 24 servings,"['8 ounces frozen cranberries', '6 cups heavy cream\xa0', '3 cups white chocolate chips', '3/4 cup granulated sugar', '1 vanilla bean, split and seeds scraped', '1/2 cup brown sugar\xa0', '1/2 cup (1 stick) butter\xa0', '4 cups cubed Granny Smith apples\xa0', '1 tablespoon brandy\xa0', '1 teaspoon ground cinnamon', '23 ounces whole eggs', '17 ounces almond flour\xa0', ""17 ounces confectioners' sugar\xa0"", '5 ounces cake flour, sifted', '4 ounces melted butter, cooled', '16 ounces egg whites\xa0', '3 ounces granulated sugar\xa0', '1 ounce egg white powder\xa0', '1/2 ounce gelatin sheets', '26 ounces apple cider\xa0', '8 ounces granulated sugar\xa0', '3 Fuji apples, peeled and cored', '1 cup heavy cream\xa0', '1/2 cup egg yolks\xa0', '1/4 cup granulated sugar\xa0', '3 tablespoons apple compound\xa0']",,
1858,White Cupcakes with Cream Cheese Frosting,12 cupcakes,"['1 1/2 cups cake flour', '1 teaspoon baking powder', '1/2 teaspoon fine salt', '1/2 cup milk, at room temperature', '1 teaspoon vanilla extract', '1 stick (8 tablespoons) unsalted butter, at room temperature', '3/4 cup granulated sugar', '2 large egg whites, at room temperature']",,
1859,Yellow Cake with Chocolate Buttercream Frosting,10 to 12 servings,"['2 sticks (1 cup) unsalted butter, softened, plus more for greasing the pan', '4 cups cake flour, plus more for flouring the pan', '4 teaspoons baking powder\xa0', '1 1/2 teaspoons kosher salt\xa0', '2 cups granulated sugar', '6 large eggs, at room temperature\xa0', '1 tablespoon vanilla\xa0', '1 1/2 cups whole milk\xa0']",3,28
1860,Figgie Fruitcake,48 servings,"['Nonstick cooking spray', '1 1/2 cups chopped white figs\xa0', '1/2 cup brandy-soaked dried apples\xa0', '1/2 cup chopped dried apricots\xa0', '1/2 cup dried cranberries\xa0', '1/2 cup Grand Marnier-soaked golden raisins\xa0', '2 3/4 cups all-purpose flour\xa0', '1 1/2 teaspoons baking powder\xa0', '1 1/2 teaspoons baking soda\xa0', '1 teaspoon Stolen Spice, recipe follows', '1/8 teaspoon salt\xa0', '1 1/2 cups packed brown sugar\xa0', '1/4 teaspoon vanilla extract\xa0', '6 ounces unsalted butter\xa0', '4 eggs\xa0', '1/3 cup toasted chopped pecans\xa0', '1/4 cup chopped candied orange peel\xa0', '3 cups apricot glaze\xa0', '2 teaspoons chili powder', '2 teaspoons paprika', '1 teaspoon ground cumin', '1 teaspoon brown sugar', '1/2 teaspoon garlic powder', '1/4 teaspoon cayenne', '1/4 teaspoon cracked black pepper', '1/4 teaspoon ground white pepper', '1/4 teaspoon salt', '1 teaspoon salad oil']",,
1861,Fun Flyers,Makes 36 Fun Flyers,"[""2 cups M&amp;M\\'S® Peanut Chocolate Candies (May substitute with 2 bags M&amp;M\\'S® Brand Dark Peanut Chocolate Candies or 2 bags M&amp;M\\'S® Brand Almond Chocolate Candies)"", '1 18.25-oz. box yellow cake mix', '1 1/2 cups prepared vanilla frosting', 'Green and yellow food coloring', '2 strands black licorice laces', '3 12-cup mini cupcake pans', '36 mini paper cupcake liners', 'Resealable plastic bag', 'Spatula']",,
1862,Peach and Raspberry Cobbler-Tini with Dream Cream,about 20 heavenly servings,"['2 store-bought pie crusts', '3 (24-ounce) cans sliced peaches', '1 can fresh raspberries', '4 ounces butter', '3 teaspoons vanilla extract', '1/4 cup brown sugar', '1 cup sugar', '1/2 teaspoon allspice', '20 raspberries, for garnish', '20 mint leaves, for garnish', '1 cup Dream Cream, recipe follows', '1 cup heavy cream', '1/4 cup sour cream', '1/4 cup sugar', '3 teaspoons vanilla extract']",4.5,3
1863,Lily Pond Treats,24 cupcakes,"['1 box (18.25 oz.) chocolate cake mix', '1 1/2 cans (16 oz. each) vanilla frosting', '1 tube (6 oz.) red decorating icing', 'Green food coloring', ""cup M&amp;M\\'S® Brand MINIS® Milk Chocolate Candies"", ""48 pieces M&amp;M\\'S® Brand Peanut Chocolate Candies"", 'Other supplies:', '2 (12-cup) cupcake pans', 'Spatula', '24 paper cupcake liners', 'Resealable plastic bag']",,
1864,Tux and Gown Cookies,32 cookies,"['Oil, for brushing', '3 cups cake flour', '1/2 teaspoon baking soda', '1/2 teaspoon baking powder', '1/2 teaspoon salt', '1/2 cup buttermilk', '1 1/2 tablespoons pure vanilla extract', '1 cup unsalted butter (2 sticks, 8 ounces), softened', '1 1/3 cups sugar', '2 large eggs', '3 large egg yolks', '6 ounces semisweet chocolate, finely chopped', '1/2 cup heavy cream', ""2 1/2 cups confectioners' sugar, sifted"", '2 tablespoons light corn syrup', '1 tablespoon lemon juice', '2 tablespoons warm water']",3.5,7
1865,Peanut Butter Banana Sandwiches,8 sandwiches,"['2 1/2 cups cake flour', 'Nonstick vegetable spray, for coating the pan', '1 teaspoon baking soda', '1/4 teaspoon baking powder', '1/4 teaspoon salt', '3/4 cup (11/2 sticks) unsalted butter at room temperature', '1 1/4 cups sugar', '3 eggs', '3 ripe bananas', '1/2 cup sour cream', '1 teaspoon vanilla extract', 'Peanut Butter Buttercream, recipe follows', '4 bananas', 'Ice cream', 'Chocolate fudge sauce, recipe follows', '8 tablespoons unsalted butter at room temperature', '1 cup creamy peanut butter', ""1 1/4 cups sifted confectioners' sugar"", '1/2 cup very hot brewed coffee', '1/2 cup sugar', '3/4 cup unsweetened Dutch-processed cocoa', '1/2 cup light corn syrup', '4 ounces semisweet chocolate, chopped', '2 tablespoons unsalted butter']",,
1866,Basic Sugar Cookies,24 to 36 cookies,"['2 1/2 cups cake flour (not self-rising), plus more for dusting', '1 teaspoon baking powder', '1/4 teaspoon salt', '2 sticks unsalted butter, at room temperature', '3/4 cup sugar', '1 large egg', '1 teaspoon pure vanilla extract', 'Basic royal icing, gel food coloring and edible pearls, for decorating (see instructions)']",,
1867,Chocolate Strawberry Cake,8 to 10 servings,"['Nonstick cooking spray', ""1 1/4 cups all-purpose flour (see Cook\\'s Note)"", '1 1/4 cups unsweetened cocoa powder', '1 1/4 cups granulated sugar', '1 teaspoon baking soda', '1/2 teaspoon baking powder', '1/2 teaspoon kosher salt', '1 large egg plus 1 large egg yolk', '1/2 cup sour cream', '1/2 cup vegetable oil', '2 teaspoons pure vanilla extract', '1 pound strawberries (about 4 cups), hulled and thinly sliced, plus 5 whole strawberries, for decorating', '1 ounce semisweet chocolate, chopped', '1 ounce white chocolate, chopped', 'Store-bought whipped cream, for decorating']",3,6
1868,Creeping Caterpillar Cupcakes,24 cupcakes,"['2 cups sifted cake flour', '2 teaspoons baking powder', '1/4 teaspoon salt', '1/2 cup unsalted butter or margarine, softened to room temperature', '1 cup sugar', '3 eggs', '1 teaspoon vanilla', '3 ounces unsweetened chocolate, melted (optional)', '1/2 cup milk', '3 cups prepared white frosting (tinted with green, yellow, purple or orange food coloring)', 'Tinted coconut (green, yellow, purple, or orange), licorice shoe strings (variety of colors), variety of round candies for eyes or spots']",,
1869,Caramel-Cashew Brownies,Ten 2-inch brownies,"['1/2 cup unsalted butter, cut into 8 pieces plus extra for greasing', '3 ounces unsweetened chocolate, coarsely chopped', '1 cup sugar', '1/4 teaspoon salt', '2 large eggs, at room temperature', '1 teaspoon vanilla extract', '3/4 cup cake flour, sifted', '3/4 cup semisweet or bittersweet chocolate chunks', '1/4 cup cream', 'Approximately 40 store-bought caramels', 'Pinch salt', '1/2 teaspoon vanilla extract', '1/2 to 3/4 cup raw cashews']",4.5,17
1870,Black-and-Whites,about 24 cookies,"['8 tablespoons (1 stick) unsalted butter', '1 cup granulated sugar', '2 eggs', '1/2 cup whole, 2 percent fat, or 1 percent fat milk', '1/4 teaspoon pure vanilla extract', '1/8 teaspoon pure lemon extract', '1 1/4 cups cake flour', '1 1/4 cups all-purpose flour', '1/2 teaspoon baking powder', '1/4 teaspoon salt', 'Vanilla and chocolate icing, recipes follow', ""2 cups confectioners' sugar"", '3 tablespoons milk', '1 teaspoon pure vanilla extract', '1/2 vanilla icing recipe', '2 tablespoons cocoa powder', '2 tablespoons milk']",4.5,2
1871,Deep-Fried Truffle Cupcakes,12 cakes,"['1 3/4 cups sugar', '2 3/4 cups cake flour', '1 tablespoon baking powder', '1/2 teaspoon salt', '9 eggs, separated', '1 cup water', '2 tablespoons butter, melted', '1 tablespoon vanilla extract', '1 cup heavy cream', '1 cup semisweet chocolate', '1 tablespoon butter, room temperature', 'Peanut oil, for frying', '1 1/2 cups all-purpose flour', '1 1/2 cups rice flour', '3 tablespoons sugar', '1/2 teaspoon baking powder', '1 egg', '1 1/2 (12-ounce) bottles beer']",4.5,20
1872,Frozen Devil's Food Whipped Cream Sandwiches,12 to 16 sandwiches,"['1 1/4 cups cake flour', '1/2 cup cocoa powder, preferably Dutch-process', '1 teaspoon baking soda', '1/2 teaspoon salt', '8 tablespoons (1 stick) unsalted butter, slightly softened at room temperature', '1 1/2 cups plus 2 tablespoons sugar', '3 eggs', '1 cup buttermilk', '2 cups chilled heavy cream', '1 teaspoon vanilla extract']",,
1873,Belgian Waffles the Brew Chef(Tm) Way,NA,"['2 ounces fresh cake yeast or 4 packages dry yeast', '6 cups milk, warmed to 100 degrees', '6 large egg yolks', '12 tablespoons (1 1/2 sticks) unsalted butter, melted and cooled to lukewarm', '12 tablespoons (1 1/2 sticks) margarine, melted and cooled to lukewarm', '1 cup Vanilla Sugar, recipe follows, or 1 cup sugar and 1 tablespoon vanilla extract', 'Pinch of salt', '8 cups all-purpose flour', '6 large egg whites, beaten to soft peaks', ""Serving suggestions: confectioners' sugar, whipped cream and fresh fruit"", '2 cups sugar', '1 vanilla bean, cut into small pieces']",,
1874,Raspberry Cream Tartelettes,NA,"['1 stick unsalted butter, at room temperature', '1/4 cup sugar', '1 teaspoon vanilla extract', '1 egg yolk', '1 1/4 cups cake flour', '1 basket of raspberries', '1/4 cup raspberry jam', '2 teaspoons Kirsh or Framboise', '1 cup cream', '2 tablespoons sugar', '1 basket raspberries']",,
1875,"Red, White and Blue Tarts",NA,"['1 stick unsalted butter', '1/4 cup sugar', '1 teaspoon vanilla extract', '1 egg yolk', '1 1/4 cups cake flour', '1 cup cream', '2 tablespoons sugar', '1/4 cup seedless raspberry jam', '1 basket raspberries', '1 basket blueberries']",,
1876,Christina's Cookie Pops,16 servings,"['2 (1 pound) tubs prepared vanilla frosting', 'Assorted food coloring, liquid or gel', '1/2 cup multicolored sprinkles', '1/2 cup mini jelly beans', '1/2 cup mini chocolate morsels', ""1/2 cup chocolate-covered candies (such as: M &amp; M\\'s)"", '1/2 cup edible silver sprinkles', '1 (18-ounce) tube prepared slice-and-bake sugar cookies']",3,1
1877,Hazelnut Brownie Bites,25 mini brownies,"['1 stick butter, softened, plus extra for greasing', '1 cup turbinado sugar', '1/2 vanilla bean, split and seeds scraped', '1/4 teaspoon vanilla extract', '2 eggs', '1/4 cup all-purpose flour, plus extra for dusting', '1/4 cup cake flour', '1/4 cup unsweetened cocoa powder', '1/4 teaspoon baking powder', '1/4 teaspoon salt', '1/3 cup chopped hazelnuts']",5,3
1878,Hazelnut Brownie Bites,25 mini brownies,"['1 stick butter, softened, plus extra for greasing', '1 cup turbinado sugar', '1/2 vanilla bean, split and seeds scraped', '1/4 teaspoon vanilla extract', '2 eggs', '1/4 cup all-purpose flour, plus extra for dusting', '1/4 cup cake flour', '1/4 cup unsweetened cocoa powder', '1/4 teaspoon baking powder', '1/4 teaspoon salt', '1/3 cup chopped hazelnuts']",5,19
1879,Fluttering Cupcakes,Makes 24 cupcakes.,"['1 box (18.25 oz.) yellow cake mix', '3 cups prepared vanilla frosting', '48 pieces thin pretzels twists', '¼ cup pink decorating sugar', ""1½ cups M&amp;M\\'S® Brand Chocolate Candies"", ""¼ cup M&amp;M\\'S® Brand Peanut Chocolate Candies"", '3 strands licorice laces', 'Green food coloring']",,
1880,Peppermint Cocoa Swirl Cookies,about 34 cookies,"[""2 1/2 cups cake flour (see Cook's Note)"", '1 teaspoon baking powder', '1/4 teaspoon kosher salt', '2 sticks (1 cup) unsalted butter, at room temperature', '3/4 cup sugar', '1 teaspoon pure vanilla extract', '1 large egg', '2 tablespoons unsweetened cocoa powder', '6 ounces good-quality white chocolate, roughly chopped', 'Finely crushed peppermint candies, for sprinkling\xa0\xa0']",,
